Id,Name,Group,Latitude,Longitude,Path,Link,Coupon,Ref
1,충남인력개발원,2,36.52123883,127.1726506,image1,https://cn.korchamhrd.net/,1,Entrance
2,충남인력개발원 생활관,1,36.5215169,127.1728303,image2,,1,Dormitory
3,충남인력개발원 공학A관,1,36.5207486,127.172416,image3,,0,LectureRoom
4,충남인력개발원 공학B관,1,36.52121724,127.1719465,image4,,0,
5,충남인력개발원 본관,1,36.52027945,127.1726824,image5,,1,MainBuilding
6,충남인력개발원 후생관,5,36.52044202,127.1731595,image6,,1,Restaurant
7,충남인력개발원 운동장,6,36.51972151,127.1729235,image7,,0,
8,충남인력개발원 테니스장,3,36.52035713,127.1740015,image8,,0,
9,카페 모임방,7,36.5176272,127.1703599,image9,,0,
10,메밀촌,7,36.5174,127.1701035,image10,,0,
11,예당 장어수산,7,36.5172487,127.1697903,image11,,0,
12,원조 햇님가든,7,36.516229,127.1697376,image12,,0,
13,S-OIL 유계주유소,7,36.523022,127.134613,image13,https://www.s-oilbonus.com/smap/A-Smap-Home-001,0,
14,오창 호수공원,3,36.714008,127.423286,image14,https://www.cheongju.go.kr/ochang/index.do,0,
15,공주 보건소,4,36.47403,127.1297,image15,https://www.gongju.go.kr/health/index.do,0,